"SOLD BY","SOLD BY"
"DELIVERED BY","DELIVERED BY"
"CASH ON DELIVERY","CASH ON DELIVERY"
"May be available enter pincode to confirm","May be available enter pincode to confirm"
"More sellers selling this product","More sellers selling this product"
"SELLERS","SELLERS"
"RATING","RATING"
"OFFERS","OFFERS"
"Prices","Prices"
"business days.","business days."
"Cash on Delivery may be available.","Cash on Delivery may be available."
"Usually delivered in %s - %s Days","Usually delivered in %s - %s Days"
"%s Day Replacement Guarantee.","%s Day Replacement Guarantee."
"Add to Cart","Add to Cart"
"Manage Sellers","Manage Sellers"
"Seller Commission","Seller Commission"
"Seller Rules","Seller Rules"
"Seller Withdraw","Seller Withdraw"
"Seller Report","Seller Report"
"Seller Category","Seller Category"
"Seller Review","Seller Review"
"Marketplace","Marketplace"
"Attributeset Name","Attributeset Name"
"Category Name","Category Name"
"Edit Category","Edit Category"
"Attributeset Id","Attributeset Id"
"Category Id","Category Id"
"Are you sure?","Are you sure?"
"Delete","Delete"
